product_num,product_category,product_name,product_price,product_rom,product_ram,product_color,produc_url,img_url,brand,product_new,product_overview
941,iPhone ,14 Pro ,30.600.000 đ,,1TB,Starlight,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-lla-908,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_space-black_20220921121248.jpg,huyhoangmobile,,
942,iPhone ,14 Pro ,29.600.000 đ,,1TB,Gold,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-lla-908,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_gold_20220921121248.jpg,huyhoangmobile,,
943,iPhone ,14 Pro ,29.700.000 đ,,1TB,Deep Purple,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-lla-908,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_deep-purple_20220921121248.jpg,huyhoangmobile,,
944,iPhone ,14 Pro Max,40.990.000 đ,,1TB,Deep Purple,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-max-chinh-hang-vn-a-951,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone-pro-max_silver_20221010041311.jpg,huyhoangmobile,,
945,iPhone ,14 Pro Max,40.990.000 đ,,1TB,Gold,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-max-chinh-hang-vn-a-951,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone-pro-max_deep-purple_20221010041310.jpg,huyhoangmobile,,
946,iPhone ,14 Plus ,24.800.000 đ,,512GB,Product Red,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-plus-zp-876,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone 14 plus_purple_20220916032741.jpg,huyhoangmobile,,
947,iPhone ,14 Plus ,24.800.000 đ,,512GB,Purple,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-plus-zp-876,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone 14 plus_blue_20220916032741.jpg,huyhoangmobile,,
948,iPhone ,14 Plus ,24.800.000 đ,,512GB,Blue,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-plus-zp-876,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone 14 plus_midnight_20220916032741.jpg,huyhoangmobile,,
949,iPhone ,14 Pro ,24.800.000 đ,,128GB,Starlight,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-897,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_silver_20220917111844.jpg,huyhoangmobile,,
950,iPhone ,14 Pro ,24.800.000 đ,,128GB,Gold,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-897,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_gold_20220917111843.jpg,huyhoangmobile,,
951,iPhone ,14 Pro ,25.300.000 đ,,128GB,Deep Purple,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-897,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_space-black_20220917111843.jpg,huyhoangmobile,,
952,iPhone ,14 Pro ,24.800.000 đ,,128GB,Space Black,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-897,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_deep-purple_20220917111843.jpg,huyhoangmobile,,
953,iPhone ,14 Pro ,33.100.000 đ,,512GB,Deep Purple,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-879,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_silver_20220917111844.jpg,huyhoangmobile,,
954,iPhone ,14 Pro ,33.100.000 đ,,512GB,Starlight,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-879,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_gold_20220917111843.jpg,huyhoangmobile,,
955,iPhone ,14 Pro ,33.100.000 đ,,512GB,Gold,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-879,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_space-black_20220917111843.jpg,huyhoangmobile,,
956,iPhone ,14 Pro ,33.100.000 đ,,512GB,Graphite,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-zp-879,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_deep-purple_20220917111843.jpg,huyhoangmobile,,
957,iPhone ,14 Pro Max ,29.250.000 đ ,,256GB,Tím,https://galaxydidong.vn/san-pham/iphone-14-pro-max-256gb-moi/,https://galaxydidong.vn/wp-content/uploads/2022/11/IP-14PROMAX-GALAXYDIDONG.webp,galaxydidong,,
958,iPhone ,14 Pro Max ,26.350.000 đ ,,128GB,Tím,https://galaxydidong.vn/san-pham/iphone-14-pro-max-128gb-moi-100/,https://galaxydidong.vn/wp-content/uploads/2022/11/IP-14PROMAX-GALAXYDIDONG.webp,galaxydidong,,
959,iPhone ,14 Pro ,31.850.000 đ ,,512GB,Tím,https://galaxydidong.vn/san-pham/iphone-14-pro-512gb-moi-vna/,https://galaxydidong.vn/wp-content/uploads/2022/09/IPHONE-14-PRO-GALAXYDIDONG.webp,galaxydidong,,
960,iPhone ,7 Plus   ,2.850.000 đ ,,32GB,,https://galaxydidong.vn/san-pham/iphone-7-plus-32g-quoc-te-dep-95-99/,https://galaxydidong.vn/wp-content/uploads/2019/12/iphone-7-plus-galaxydidong-2.webp,galaxydidong,99%,
