,product_name,product_price,product_memory,product_color,product_url,img_url
221, vivo Y02s 3G 32GB ,2.890.000 đ,32GB,Đen,https://cellphones.com.vn/vivo-y02s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/i/vivo-y02s-thumb-1-2-600x600.jpg"
222, vivo Y02s 3G 32GB ,2.890.000 đ,32GB,Xanh,https://cellphones.com.vn/vivo-y02s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/i/vivo-y02s-thumb-1-2-600x600.jpg"
223, vivo Y02s 3GB 64GB ,3.290.000 đ,3GB 64GB,Xanh,https://cellphones.com.vn/vivo-y02s-3gb-64gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/i/vivo-y02s-thumb-1-2-600x600_3.jpg"
224, vivo Y02s 3GB 64GB ,3.290.000 đ,3GB 64GB,Đen,https://cellphones.com.vn/vivo-y02s-3gb-64gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/i/vivo-y02s-thumb-1-2-600x600_3.jpg"
225, ASUS ROG Phone 6 16GB 512GB - Chỉ có tại CellphoneS ,18.990.000 đ,16GB 512GB,Đen,https://cellphones.com.vn/asus-rog-phone-6.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/a/s/asus-rog-phone-6-12gb-256gb_2.png"
226, ASUS ROG Phone 6 16GB 512GB - Chỉ có tại CellphoneS ,18.990.000 đ,16GB 512GB,Trắng,https://cellphones.com.vn/asus-rog-phone-6.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/a/s/asus-rog-phone-6-12gb-256gb_2.png"
227, vivo Y22S 4GB 128GB ,4.390.000 đ,4G 128GB,Xanh Đen,https://cellphones.com.vn/vivo-y22s-4g-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/5/4/542434226_3.jpeg"
228, vivo Y22S 4GB 128GB ,4.390.000 đ,4G 128GB,Xanh vàng,https://cellphones.com.vn/vivo-y22s-4g-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/5/4/542434226_3.jpeg"
229, vivo Y22S 8GB 128GB ,5.290.000 đ,8GB 128GB,Xanh vàng,https://cellphones.com.vn/vivo-y22s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/2/f/2fd21c69b0cae924821762ec8270b62e.png"
230, vivo Y22S 8GB 128GB ,5.290.000 đ,8GB 128GB,Xanh Đen,https://cellphones.com.vn/vivo-y22s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/2/f/2fd21c69b0cae924821762ec8270b62e.png"
231, vivo T1X ,3.690.000 đ,4GB 64GB,Đen,https://cellphones.com.vn/vivo-t1x.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/1/t1x_01.png"
232, vivo T1X ,3.690.000 đ,4GB 64GB,Xanh,https://cellphones.com.vn/vivo-t1x.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/1/t1x_01.png"
233, vivo V25e 8GB 128GB ,7.790.000 đ,2 SIM (Nano-SIM),Đen,https://cellphones.com.vn/vivo-v25e.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/i/vivov25e.png"
234, vivo V25e 8GB 128GB ,7.790.000 đ,2 SIM (Nano-SIM),Vàng,https://cellphones.com.vn/vivo-v25e.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/i/vivov25e.png"
235, vivo V25 5G 8GB 128GB ,9.790.000 đ,2 SIM (Nano-SIM),Đen,https://cellphones.com.vn/vivo-v25.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/i/vivo_v25_5g_8gb_128gb-removebg-preview_1.png"
