,product_name,product_memory,product_color,product_price,product_url,img_url
38,iPhone 14 Pro | Chính Hãng VNA,1TB,Deep Purple,34.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/smL7qk0pRmSrpM--knsNW9mS-QrODnxJu1Ik_cYi52ycTMche3rJSwt6sP_CMxLxRHTaNPpwtA_J2TlkBnnHWLcvcb2_Xg8q=w500-rw
39,iPhone 14 Pro | Chính Hãng VNA,256GB,Gold,27.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/NIXB7qYz52Lt_TmdBkin6IkCpa84I2f07bX8bOcHw_CKtnNkBM39LlhaZ0VL5aQe1s4W0fLM3yldEXESSerQlcyI8GHIPd7f=w500-rw
40,iPhone 14 Pro | Chính Hãng VNA,512GB,Gold,33.490.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/EVAUdvhhjKQ8-Zgo6DzhGW9tOAZHFNy4jO2qA4WTWUvzaNZVLcD3RcErPceA4G8R8hxAk-GyYn-GLor6iyWv4t5f_Boq1w=w500-rw
41,iPhone 14 Pro | Chính Hãng VNA,1TB,Gold,34.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/wVsKhlnQTt9SJzKcoCXV6PerJfRkwT03viSsA2iCSgAH5ClqnqhTEQEnbPT1pxnNquaFz--8Bu_tChhBSHcr7SG6AYc5e-QR=w500-rw
42,Xiaomi Redmi Note 11 Pro,128GB,Space Gray,6.490.000đ,https://phongvu.vn/xiaomi-redmi-note-11-pro--p415245,https://lh3.googleusercontent.com/QJSdBJUJpzt_m2DG8xP5UZltEPi_xfIySZLpc6_bfAbDAjXWsElChHhBQ8QIm2efeFBsUmWgNa1gNll4q_eqbmx5oA2Cby3h=w500-rw
43,Xiaomi Redmi 9C,128GB,Green,3.290.000đ,https://phongvu.vn/xiaomi-redmi-9c--p412232,https://lh3.googleusercontent.com/16i9VnhPllXNNzjyxfhneMWoaBog0NMNk9MtplvbnISH4u4IzdGGCx__qblm5aoQ8biVjxd5RdYlLdorOaUcked4BNd2caDDgQ=w500-rw
44,Điện thoại di động Samsung Galaxy S21 Ultra 5G (12+128GB)  SM-G998BZSDXXV (Silver),128GB,Silver,29.000.000đ,https://phongvu.vn/dien-thoai-di-dong-samsung-galaxy-s21-ultra-5g-12-128gb-sm-g998bzsdxxv-silver--s210103647,https://lh3.googleusercontent.com/0u7SrJvZl4ny-KmM4c_jALU9P4pQCLwRV_HEJzJYhWdleAnpEW_bX7QnA4fNnUfPxUeJwtmgl8CKVfsHTRKE9dvB2sWM7cRU=w500-rw
45,Điện thoại Samsung Galaxy S22 Ultra 5G 12GB/256GB,256GB,Black,33.990.000đ,https://phongvu.vn/dien-thoai-di-dong-samsung-galaxy-s22-ultra-5g-12-gb256gb-den-black--s220200760,https://lh3.googleusercontent.com/Nuu7nPun4nt0IyRmoZjl-_xBiKIOXHbNc1oX8-l0fmyXmECP02dW54yMbUEKhmGIu-8zaOnnBhT3JRoh5YRUZBfldmae8OOD=w500-rw
46,Điện thoại Samsung Galaxy A34 5G 8GB/128GB,128GB,Silver,7.390.000đ,https://phongvu.vn/galaxy-a34-5g-8gb-128gb--p505121,https://lh3.googleusercontent.com/t1wlf5RCet7jlzI3Ia01L9zBS7sDI1YJbGOY5fhIFQTyjtW5M_wdIGlLiGPkKFLecJ9FkvykcBE-kh11RQF2UUR0jeH6gMqVmQ=w500-rw
47,Điện thoại Samsung Galaxy A34 5G 8GB/128GB,128GB,Lime,7.390.000đ,https://phongvu.vn/galaxy-a34-5g-8gb-128gb--p505121,https://lh3.googleusercontent.com/9_jJFi-I7fQckaWN64ruNGLBNEBCHVC1t1sxKWo-fRYVoueS9U3X1bbaPzk-a3CzAFvt8w0rEbiVnfmoGnDUJxvjQyE3Qgbl=w500-rw
48,Xiaomi Redmi Note 11 Pro,128GB,Blue,6.490.000đ,https://phongvu.vn/xiaomi-redmi-note-11-pro--p415245,https://lh3.googleusercontent.com/TFqxI0kGP7LLszJhVlwqlikLJgvoUPSPx6fdEhjbCyZMEUKrY0pGp6vfyk8SlokD3eMage7xuGH_aHIKYga76zJhQXYL6cvk=w500-rw
